GEO_ID,NAME,B28002_001E,B28002_013E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!No Internet access
42003010300,"Census Tract 103, Allegheny County, Pennsylvania",291,46
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",2370,227
42003020300,"Census Tract 203, Allegheny County, Pennsylvania",641,35
42003030500,"Census Tract 305, Allegheny County, Pennsylvania",1096,463
42003040200,"Census Tract 402, Allegheny County, Pennsylvania",629,179
42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1197,105
42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1132,49
42003040600,"Census Tract 406, Allegheny County, Pennsylvania",892,129
42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1288,185
42003050100,"Census Tract 501, Allegheny County, Pennsylvania",996,457
42003050600,"Census Tract 506, Allegheny County, Pennsylvania",906,299
42003050900,"Census Tract 509, Allegheny County, Pennsylvania",790,323
42003051000,"Census Tract 510, Allegheny County, Pennsylvania",724,190
42003051100,"Census Tract 511, Allegheny County, Pennsylvania",82,44
42003060300,"Census Tract 603, Allegheny County, Pennsylvania",1246,179
42003060500,"Census Tract 605, Allegheny County, Pennsylvania",716,167
42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1139,53
42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1789,83
42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1263,64
42003070800,"Census Tract 708, Allegheny County, Pennsylvania",1068,91
42003070900,"Census Tract 709, Allegheny County, Pennsylvania",2470,210
42003080200,"Census Tract 802, Allegheny County, Pennsylvania",871,222
42003080400,"Census Tract 804, Allegheny County, Pennsylvania",805,103
42003080600,"Census Tract 806, Allegheny County, Pennsylvania",1082,112
42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1138,105
42003080900,"Census Tract 809, Allegheny County, Pennsylvania",989,122
42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1041,241
42003090200,"Census Tract 902, Allegheny County, Pennsylvania",1326,262
42003090300,"Census Tract 903, Allegheny County, Pennsylvania",882,215
42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",910,213
42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",1303,169
42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",1503,303
42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",398,74
42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",639,156
42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",1185,121
42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",1996,344
42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",1098,139
42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",1350,235
42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",596,168
42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",1788,436
42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",733,181
42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",363,186
42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",407,196
42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",235,116
42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",777,327
42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",491,122
42003130300,"Census Tract 1303, Allegheny County, Pennsylvania",619,269
42003130400,"Census Tract 1304, Allegheny County, Pennsylvania",430,214
42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",1419,479
42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",899,43
42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",1041,25
42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",1489,80
42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",979,36
42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",1044,142
42003140600,"Census Tract 1406, Allegheny County, Pennsylvania",1466,78
42003140800,"Census Tract 1408, Allegheny County, Pennsylvania",1954,150
42003141000,"Census Tract 1410, Allegheny County, Pennsylvania",454,52
42003141100,"Census Tract 1411, Allegheny County, Pennsylvania",602,116
42003141300,"Census Tract 1413, Allegheny County, Pennsylvania",2508,307
42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",2517,362
42003151600,"Census Tract 1516, Allegheny County, Pennsylvania",1141,254
42003151700,"Census Tract 1517, Allegheny County, Pennsylvania",2442,355
42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",1318,198
42003160900,"Census Tract 1609, Allegheny County, Pennsylvania",1692,271
42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",1951,364
42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",869,124
42003180300,"Census Tract 1803, Allegheny County, Pennsylvania",951,354
42003180700,"Census Tract 1807, Allegheny County, Pennsylvania",987,190
42003190300,"Census Tract 1903, Allegheny County, Pennsylvania",1009,148
42003191100,"Census Tract 1911, Allegheny County, Pennsylvania",1238,211
42003191400,"Census Tract 1914, Allegheny County, Pennsylvania",1403,205
42003191500,"Census Tract 1915, Allegheny County, Pennsylvania",969,181
42003191600,"Census Tract 1916, Allegheny County, Pennsylvania",1901,333
42003191700,"Census Tract 1917, Allegheny County, Pennsylvania",1524,215
42003191800,"Census Tract 1918, Allegheny County, Pennsylvania",2242,264
42003191900,"Census Tract 1919, Allegheny County, Pennsylvania",940,185
42003192000,"Census Tract 1920, Allegheny County, Pennsylvania",1580,319
42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",1156,173
42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",1909,279
42003210700,"Census Tract 2107, Allegheny County, Pennsylvania",1129,248
42003220600,"Census Tract 2206, Allegheny County, Pennsylvania",971,231
42003240600,"Census Tract 2406, Allegheny County, Pennsylvania",1151,192
42003241200,"Census Tract 2412, Allegheny County, Pennsylvania",394,127
42003250300,"Census Tract 2503, Allegheny County, Pennsylvania",570,54
42003250700,"Census Tract 2507, Allegheny County, Pennsylvania",303,124
42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",603,205
42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",914,198
42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",738,117
42003260900,"Census Tract 2609, Allegheny County, Pennsylvania",560,236
42003261200,"Census Tract 2612, Allegheny County, Pennsylvania",505,88
42003261400,"Census Tract 2614, Allegheny County, Pennsylvania",984,304
42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",745,292
42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",1208,362
42003270100,"Census Tract 2701, Allegheny County, Pennsylvania",993,116
42003270300,"Census Tract 2703, Allegheny County, Pennsylvania",859,293
42003270400,"Census Tract 2704, Allegheny County, Pennsylvania",449,49
42003270800,"Census Tract 2708, Allegheny County, Pennsylvania",1112,253
42003271500,"Census Tract 2715, Allegheny County, Pennsylvania",1007,265
42003281400,"Census Tract 2814, Allegheny County, Pennsylvania",1082,252
42003281500,"Census Tract 2815, Allegheny County, Pennsylvania",674,120
42003290100,"Census Tract 2901, Allegheny County, Pennsylvania",907,123
42003290200,"Census Tract 2902, Allegheny County, Pennsylvania",1778,372
42003290400,"Census Tract 2904, Allegheny County, Pennsylvania",1863,421
42003300100,"Census Tract 3001, Allegheny County, Pennsylvania",1382,313
42003310200,"Census Tract 3102, Allegheny County, Pennsylvania",1479,409
42003310300,"Census Tract 3103, Allegheny County, Pennsylvania",397,78
42003320400,"Census Tract 3204, Allegheny County, Pennsylvania",814,156
42003320600,"Census Tract 3206, Allegheny County, Pennsylvania",1015,192
42003320700,"Census Tract 3207, Allegheny County, Pennsylvania",702,134
42003401100,"Census Tract 4011, Allegheny County, Pennsylvania",2030,474
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",1293,399
42003401300,"Census Tract 4013, Allegheny County, Pennsylvania",1102,105
42003402000,"Census Tract 4020, Allegheny County, Pennsylvania",1440,305
42003403500,"Census Tract 4035, Allegheny County, Pennsylvania",2026,644
42003404000,"Census Tract 4040, Allegheny County, Pennsylvania",646,156
42003405000,"Census Tract 4050, Allegheny County, Pennsylvania",473,132
42003406000,"Census Tract 4060, Allegheny County, Pennsylvania",1027,208
42003407001,"Census Tract 4070.01, Allegheny County, Pennsylvania",2366,265
42003407002,"Census Tract 4070.02, Allegheny County, Pennsylvania",2765,359
42003408001,"Census Tract 4080.01, Allegheny County, Pennsylvania",2084,294
42003408002,"Census Tract 4080.02, Allegheny County, Pennsylvania",2279,147
42003409000,"Census Tract 4090, Allegheny County, Pennsylvania",4449,86
42003410000,"Census Tract 4100, Allegheny County, Pennsylvania",471,12
42003411000,"Census Tract 4110, Allegheny County, Pennsylvania",2900,137
42003412001,"Census Tract 4120.01, Allegheny County, Pennsylvania",3352,122
42003412002,"Census Tract 4120.02, Allegheny County, Pennsylvania",1871,83
42003413100,"Census Tract 4131, Allegheny County, Pennsylvania",2683,189
42003413201,"Census Tract 4132.01, Allegheny County, Pennsylvania",1604,117
42003413202,"Census Tract 4132.02, Allegheny County, Pennsylvania",1206,123
42003413300,"Census Tract 4133, Allegheny County, Pennsylvania",1934,217
42003413400,"Census Tract 4134, Allegheny County, Pennsylvania",1643,181
42003413500,"Census Tract 4135, Allegheny County, Pennsylvania",2890,501
42003414101,"Census Tract 4141.01, Allegheny County, Pennsylvania",1969,159
42003414102,"Census Tract 4141.02, Allegheny County, Pennsylvania",3037,321
42003414200,"Census Tract 4142, Allegheny County, Pennsylvania",2228,128
42003415001,"Census Tract 4150.01, Allegheny County, Pennsylvania",1622,142
42003415002,"Census Tract 4150.02, Allegheny County, Pennsylvania",1000,110
42003416000,"Census Tract 4160, Allegheny County, Pennsylvania",832,201
42003417100,"Census Tract 4171, Allegheny County, Pennsylvania",910,137
42003417200,"Census Tract 4172, Allegheny County, Pennsylvania",653,198
42003418000,"Census Tract 4180, Allegheny County, Pennsylvania",826,183
42003419000,"Census Tract 4190, Allegheny County, Pennsylvania",1421,328
42003420000,"Census Tract 4200, Allegheny County, Pennsylvania",835,187
42003421100,"Census Tract 4211, Allegheny County, Pennsylvania",1933,183
42003421200,"Census Tract 4212, Allegheny County, Pennsylvania",1718,149
42003422000,"Census Tract 4220, Allegheny County, Pennsylvania",1869,99
42003423000,"Census Tract 4230, Allegheny County, Pennsylvania",1269,153
42003424000,"Census Tract 4240, Allegheny County, Pennsylvania",1561,370
42003425000,"Census Tract 4250, Allegheny County, Pennsylvania",1484,349
42003426300,"Census Tract 4263, Allegheny County, Pennsylvania",2469,268
42003426400,"Census Tract 4264, Allegheny County, Pennsylvania",2018,327
42003426700,"Census Tract 4267, Allegheny County, Pennsylvania",1162,187
42003426800,"Census Tract 4268, Allegheny County, Pennsylvania",2248,240
42003427000,"Census Tract 4270, Allegheny County, Pennsylvania",1940,496
42003427100,"Census Tract 4271, Allegheny County, Pennsylvania",2208,330
42003427200,"Census Tract 4272, Allegheny County, Pennsylvania",2205,432
42003428100,"Census Tract 4281, Allegheny County, Pennsylvania",508,169
42003428200,"Census Tract 4282, Allegheny County, Pennsylvania",947,179
42003429100,"Census Tract 4291, Allegheny County, Pennsylvania",1142,215
42003429201,"Census Tract 4292.01, Allegheny County, Pennsylvania",1801,91
42003429202,"Census Tract 4292.02, Allegheny County, Pennsylvania",1863,150
42003429300,"Census Tract 4293, Allegheny County, Pennsylvania",2350,498
42003429400,"Census Tract 4294, Allegheny County, Pennsylvania",1863,194
42003429500,"Census Tract 4295, Allegheny County, Pennsylvania",2278,474
42003429600,"Census Tract 4296, Allegheny County, Pennsylvania",1540,167
42003429700,"Census Tract 4297, Allegheny County, Pennsylvania",1064,169
42003430100,"Census Tract 4301, Allegheny County, Pennsylvania",958,162
42003430200,"Census Tract 4302, Allegheny County, Pennsylvania",2118,409
42003431100,"Census Tract 4311, Allegheny County, Pennsylvania",1712,340
42003431400,"Census Tract 4314, Allegheny County, Pennsylvania",988,186
42003431500,"Census Tract 4315, Allegheny County, Pennsylvania",1728,364
42003432300,"Census Tract 4323, Allegheny County, Pennsylvania",1188,438
42003432400,"Census Tract 4324, Allegheny County, Pennsylvania",1327,307
42003434000,"Census Tract 4340, Allegheny County, Pennsylvania",760,57
42003435000,"Census Tract 4350, Allegheny County, Pennsylvania",1203,140
42003437000,"Census Tract 4370, Allegheny County, Pennsylvania",2222,45
42003439000,"Census Tract 4390, Allegheny County, Pennsylvania",538,39
42003445500,"Census Tract 4455, Allegheny County, Pennsylvania",1742,298
42003446000,"Census Tract 4460, Allegheny County, Pennsylvania",712,32
42003447000,"Census Tract 4470, Allegheny County, Pennsylvania",599,42
42003448000,"Census Tract 4480, Allegheny County, Pennsylvania",561,129
42003449000,"Census Tract 4490, Allegheny County, Pennsylvania",1008,185
42003450700,"Census Tract 4507, Allegheny County, Pennsylvania",1618,369
42003450800,"Census Tract 4508, Allegheny County, Pennsylvania",1190,352
42003451101,"Census Tract 4511.01, Allegheny County, Pennsylvania",1523,51
42003451102,"Census Tract 4511.02, Allegheny County, Pennsylvania",2004,296
42003451104,"Census Tract 4511.04, Allegheny County, Pennsylvania",1282,83
42003451105,"Census Tract 4511.05, Allegheny County, Pennsylvania",2189,380
42003451300,"Census Tract 4513, Allegheny County, Pennsylvania",2731,208
42003452000,"Census Tract 4520, Allegheny County, Pennsylvania",2224,260
42003453003,"Census Tract 4530.03, Allegheny County, Pennsylvania",755,127
42003453004,"Census Tract 4530.04, Allegheny County, Pennsylvania",3195,278
42003455000,"Census Tract 4550, Allegheny County, Pennsylvania",651,95
42003456001,"Census Tract 4560.01, Allegheny County, Pennsylvania",1284,114
42003456003,"Census Tract 4560.03, Allegheny County, Pennsylvania",2629,252
42003456004,"Census Tract 4560.04, Allegheny County, Pennsylvania",2128,445
42003457100,"Census Tract 4571, Allegheny County, Pennsylvania",760,200
42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",1768,427
42003458000,"Census Tract 4580, Allegheny County, Pennsylvania",3762,584
42003459101,"Census Tract 4591.01, Allegheny County, Pennsylvania",683,100
